auroc,auprc,hit@top1,hit@top5,hit@top10,hit@top20,hit@top50,hit@top100,prec@top1,prec@top5,prec@top10,prec@top20,prec@top50,prec@top100,recall@top1,recall@top5,recall@top10,recall@top20,recall@top50,recall@top100
0.998887,0.839019,0.914506,0.965803,0.976282,0.982350,0.988417,0.991726,0.914506,0.765692,0.661500,0.545119,0.379470,0.256955,0.163440,0.425761,0.561939,0.699354,0.857254,0.940641
0.998611,0.843641,0.914506,0.966354,0.976282,0.982350,0.988969,0.992278,0.914506,0.769002,0.663210,0.546911,0.379526,0.256211,0.166389,0.426488,0.563376,0.702657,0.857921,0.940642
0.998936,0.847629,0.919470,0.963045,0.972973,0.982901,0.990072,0.993933,0.919470,0.767457,0.664038,0.547711,0.379272,0.256503,0.168846,0.425522,0.563658,0.704272,0.861230,0.944014
0.999087,0.848345,0.914506,0.970215,0.980695,0.986762,0.991726,0.993933,0.914506,0.769664,0.665141,0.547380,0.379823,0.256580,0.167071,0.429372,0.567605,0.708317,0.862629,0.944534
0.998923,0.842171,0.913955,0.965803,0.975731,0.981798,0.987865,0.993933,0.913955,0.768119,0.665803,0.548428,0.380331,0.257022,0.162747,0.423083,0.563390,0.703042,0.859155,0.942411
0.998742,0.828580,0.903475,0.956426,0.969664,0.977386,0.987314,0.990072,0.903475,0.758963,0.658301,0.542195,0.378191,0.256233,0.156426,0.417083,0.554029,0.691522,0.851460,0.936931
0.998678,0.838187,0.906233,0.961942,0.974628,0.984004,0.991175,0.993381,0.906233,0.762603,0.661004,0.546608,0.380408,0.257132,0.162238,0.419903,0.558652,0.702054,0.860116,0.943600
0.999024,0.848915,0.924435,0.964148,0.976282,0.982350,0.990072,0.992830,0.924435,0.770767,0.664093,0.546194,0.379294,0.256382,0.173381,0.425337,0.564058,0.701019,0.857608,0.941274
0.999113,0.845674,0.916161,0.968009,0.975731,0.985659,0.992278,0.994484,0.916161,0.768560,0.663265,0.546387,0.380496,0.256823,0.169753,0.425522,0.561531,0.705332,0.862919,0.944826
0.998865,0.845247,0.916161,0.958632,0.974628,0.982901,0.990072,0.992830,0.916161,0.767347,0.665637,0.549062,0.381092,0.257606,0.165094,0.422720,0.563369,0.705983,0.862501,0.944366
