name,auroc,auprc,hit@top1,hit@top5,hit@top10,hit@top20,hit@top50,hit@top100,prec@top1,prec@top5,prec@top10,prec@top20,prec@top50,prec@top100,recall@top1,recall@top5,recall@top10,recall@top20,recall@top50,recall@top100
d12asa_,0.9977139531983873,0.2822918270860159,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.3,0.25,0.1,0.06,0.0,0.2857142857142857,0.42857142857142855,0.7142857142857143,0.7142857142857143,0.8571428571428571
d1914a1,0.9997091755125782,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.1,0.05,0.02,0.01,0.0,1.0,1.0,1.0,1.0,1.0
d1914a2,0.9998545771831601,0.45,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.2,0.1,0.04,0.02,0.0,1.0,1.0,1.0,1.0,1.0
d1a04a1,0.9798378444655611,0.36194923284856423,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.18,0.09,0.05263157894736842,0.2631578947368421,0.3157894736842105,0.3157894736842105,0.47368421052631576,0.47368421052631576
d1a04a2,0.9977013456925642,0.8611206388953074,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.71,0.011111111111111112,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.5333333333333333,0.7888888888888889
d1a0aa_,0.9977461102224807,0.03125,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,1.0,1.0
d1a0ca_,0.9892033466715169,0.0365319764098088,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.03,0.0,0.0,0.0,0.0,0.1,0.3
d1a0ia1,0.9838592409480879,0.004484304932735426,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a0ia2,0.9959754648822945,0.39134186416795114,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3,0.15,0.1,0.05,0.16666666666666666,0.3333333333333333,0.5,0.5,0.8333333333333334,0.8333333333333334
d1a0pa1,0.9925839755707431,0.009708737864077669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
