name,auroc,auprc,hit@top1,hit@top5,hit@top10,hit@top20,hit@top50,hit@top100,prec@top1,prec@top5,prec@top10,prec@top20,prec@top50,prec@top100,recall@top1,recall@top5,recall@top10,recall@top20,recall@top50,recall@top100
d12asa_,0.9986457678059691,0.4260588670057823,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.25,0.14,0.08,0.125,0.25,0.25,0.625,0.875,1.0
d1914a1,0.9058963252759537,0.000741839762611276,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1914a2,0.994515475441906,0.01921309064166207,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.5,0.5
d1a04a1,0.5926795864872029,0.33050947394275815,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.3,0.18,0.1,0.05263157894736842,0.2631578947368421,0.2631578947368421,0.3157894736842105,0.47368421052631576,0.5263157894736842
d1a04a2,0.993210097599518,0.8830559298999372,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.84,0.010101010101010102,0.050505050505050504,0.10101010101010101,0.20202020202020202,0.5050505050505051,0.8484848484848485
d1a0aa_,0.5,6.985679357317499e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a0ia1,0.9318150062875507,0.0010235414534288639,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a0ia2,0.9957602441353925,0.3711786922967106,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.06,0.03,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.5,0.5
d1a0pa1,0.9994411066089144,0.1111111111111111,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1,0.05,0.02,0.01,0.0,0.0,1.0,1.0,1.0,1.0
d1a0pa2,0.9999650667225599,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.5,1.0,1.0,1.0,1.0,1.0
d1a0tp_,0.9998253336127996,0.3666666666666667,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.2,0.1,0.04,0.02,0.0,1.0,1.0,1.0,1.0,1.0
d1a10i_,0.5,0.00013971358714634998,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.5
d1a12a_,0.9911275674165153,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a17a_,0.9993899264025864,0.6209801531841268,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.5,0.36,0.18,0.05555555555555555,0.2222222222222222,0.3333333333333333,0.5555555555555556,1.0,1.0
d1a1ia1,0.5,0.0019559902200488996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a1va1,0.9956711975317277,0.4297318818361936,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.18,0.12,0.05555555555555555,0.2777777777777778,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666
d1a1va2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.02,0.01,1.0,1.0,1.0,1.0,1.0,1.0
d1a1xa_,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.02,0.01,1.0,1.0,1.0,1.0,1.0,1.0
d1a26a1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.5,1.0,1.0,1.0,1.0,1.0
d1a2pa_,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.02,0.01,1.0,1.0,1.0,1.0,1.0,1.0
d1a2za_,0.987029529179676,0.25033693378492194,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.04,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.4444444444444444
d1a32a_,0.8334556339832739,0.03534706402513867,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.06,0.03,0.0,0.0,0.0,0.0,0.5,0.5
d1a3aa_,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0
d1a3qa2,0.9985677356249563,0.5232558139534884,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.04,0.02,0.5,0.5,0.5,0.5,1.0,1.0
d1a3wa3,0.9990217998882057,0.6888888888888889,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.06,0.03,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,1.0,1.0
d1a41a_,0.998812351543943,0.05555555555555555,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05,0.02,0.01,0.0,0.0,0.0,1.0,1.0,1.0
d1a4ia2,0.9999825309202711,0.95,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.4,0.2,0.08,0.04,0.25,1.0,1.0,1.0,1.0,1.0
d1a4pa_,0.972865548659144,0.41164005900191225,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.12,0.07,0.07692307692307693,0.38461538461538464,0.38461538461538464,0.38461538461538464,0.46153846153846156,0.5384615384615384
d1a4qa_,0.9979726824585787,0.4130125324234797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.35,0.38,0.26,0.03571428571428571,0.07142857142857142,0.14285714285714285,0.25,0.6785714285714286,0.9285714285714286
d1a5ea_,0.9979236002709628,0.7232610751815508,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.7,0.32,0.17,0.05263157894736842,0.2631578947368421,0.3684210526315789,0.7368421052631579,0.8421052631578947,0.8947368421052632
d1a5ta1,0.9949216111072285,0.25160637741184855,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.1,0.06,0.04,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.6666666666666666
d1a5ta2,0.9958545962950017,0.38806032133725993,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.25,0.12,0.09,0.1,0.3,0.3,0.5,0.6,0.9
