name,auroc,auprc,hit@top1,hit@top5,hit@top10,hit@top20,hit@top50,hit@top100,prec@top1,prec@top5,prec@top10,prec@top20,prec@top50,prec@top100,recall@top1,recall@top5,recall@top10,recall@top20,recall@top50,recall@top100
d12asa_,0.8039421262319145,0.7501397135871464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.12,0.06,0.125,0.625,0.75,0.75,0.75,0.75
d1914a1,0.9997205533044572,0.2,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.1,0.05,0.02,0.01,0.0,1.0,1.0,1.0,1.0,1.0
d1914a2,0.6079612939285964,0.5000698567935732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.02,0.01,0.5,0.5,0.5,0.5,0.5,0.5
d1a04a1,0.7137292728183076,0.2730766132358421,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4,0.35,0.18,0.11,0.05263157894736842,0.15789473684210525,0.21052631578947367,0.3684210526315789,0.47368421052631576,0.5789473684210527
d1a04a2,0.5662985368598761,0.2819724873389721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.95,0.54,0.31,0.010101010101010102,0.04040404040404041,0.09090909090909091,0.1919191919191919,0.2727272727272727,0.31313131313131315
d1a0aa_,0.23812351543942994,6.985679357317499e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a0ia1,0.9999301383261143,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.1,0.05,0.02,0.01,0.0,1.0,1.0,1.0,1.0,1.0
d1a0ia2,0.7384396766603768,0.4014217648691977,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.2,0.08,0.04,0.16666666666666666,0.5,0.5,0.6666666666666666,0.6666666666666666,0.6666666666666666
d1a0pa1,0.9968562246751431,0.021739130434782608,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,1.0,1.0
d1a0pa2,0.6079088940124362,0.5000698567935732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.02,0.01,0.5,0.5,0.5,0.5,0.5,0.5
d1a0tp_,0.21672605323831484,0.00013971358714634998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a10i_,0.21588765457975267,0.00013971358714634998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a12a_,0.21597736481766105,6.985679357317499e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a17a_,0.7416396602239785,0.5149597658283799,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.55,0.24,0.12,0.05555555555555555,0.2222222222222222,0.3888888888888889,0.6111111111111112,0.6666666666666666,0.6666666666666666
d1a1ia1,0.914452699257067,0.6762586004737684,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.44,0.23,0.03571428571428571,0.17857142857142858,0.32142857142857145,0.5714285714285714,0.7857142857142857,0.8214285714285714
d1a1va1,0.6944153008012559,0.28180814803252374,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.5,0.3,0.2,0.11,0.05555555555555555,0.1111111111111111,0.2777777777777778,0.3333333333333333,0.5555555555555556,0.6111111111111112
d1a1va2,0.9993013832611429,0.09090909090909091,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05,0.02,0.01,0.0,0.0,0.0,1.0,1.0,1.0
d1a1xa_,0.2166061198826324,6.985679357317499e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a26a1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.5,1.0,1.0,1.0,1.0,1.0
d1a2pa_,0.21580271063294676,6.985679357317499e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a2za_,0.5599748357332588,0.021749921635193036,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1,0.05,0.04,0.02,0.0,0.0,0.1111111111111111,0.1111111111111111,0.2222222222222222,0.2222222222222222
d1a32a_,0.839879330025392,0.005584656152098881,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.16666666666666666
d1a3aa_,0.5294339622641508,0.4002095703807195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.2,0.4,0.4,0.4,0.4,0.4
d1a3qa2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.5,1.0,1.0,1.0,1.0,1.0
d1a3wa3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.15,0.06,0.03,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
d1a41a_,0.9972753947184574,0.025,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,1.0,1.0
d1a4ia2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.4,0.2,0.08,0.04,0.25,1.0,1.0,1.0,1.0,1.0
d1a4pa_,0.2765132364489098,0.03929981998441656,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.1,0.05,0.02,0.01,0.0,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693,0.07692307692307693
d1a4qa_,0.523992840644342,0.11091856232152988,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.3,0.25,0.18,0.11,0.0,0.07142857142857142,0.10714285714285714,0.17857142857142858,0.32142857142857145,0.39285714285714285
d1a5ea_,0.504705033428563,0.3118240793507812,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.7,0.35,0.14,0.07,0.05263157894736842,0.15789473684210525,0.3684210526315789,0.3684210526315789,0.3684210526315789,0.3684210526315789
d1a5ta1,0.9944906469121997,0.06341532735735973,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.1,0.04,0.04,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.6666666666666666
d1a5ta2,0.6861656763369453,0.3730066999015654,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4,0.25,0.12,0.06,0.1,0.3,0.4,0.5,0.6,0.6
d1a62a1,0.9973090095757321,0.35242072697656457,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.2,0.14,0.07,0.125,0.375,0.375,0.5,0.875,0.875
d1a62a2,0.989520748917144,0.006622516556291391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a6ca1,0.40644736535458764,0.002867287558352795,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a6ca2,0.9748229923607229,0.08654352893483327,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.1,0.05,0.02,0.01,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
d1a6ca3,0.41090899559656113,0.00797252558651856,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.125,0.25
d1a6fa_,0.21574792146999233,0.00013971358714634998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a6ja_,0.5294060097833683,0.30020957038071955,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.2,0.4,0.4,0.4,0.4,0.4
d1a79a1,0.8037523583257634,0.5469448567935732,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.15,0.06,0.03,0.25,0.5,0.5,0.75,0.75,0.75
d1a79a2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.5,1.0,1.0,1.0,1.0,1.0
d1a7ja_,0.2156979181221182,6.985679357317499e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a7sa_,0.3717027690150719,0.15346887491753017,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7,0.4,0.18,0.09,0.02,0.1,0.14,0.16,0.18,0.18
d1a7ta_,0.5565670670122538,0.3414227565484607,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.5,0.2,0.1,0.043478260869565216,0.17391304347826086,0.30434782608695654,0.43478260869565216,0.43478260869565216,0.43478260869565216
d1a8da1,0.7372987019040295,0.23419493423733295,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.15,0.12,0.08,0.08333333333333333,0.16666666666666666,0.16666666666666666,0.25,0.5,0.6666666666666666
d1a8da2,0.6954093423909238,0.47398455519843113,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.75,0.4,0.21,0.027777777777777776,0.1111111111111111,0.25,0.4166666666666667,0.5555555555555556,0.5833333333333334
d1a8la1,0.6328662561518904,0.4219339400284808,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.22,0.12,0.041666666666666664,0.20833333333333334,0.375,0.4166666666666667,0.4583333333333333,0.5
d1a8qa_,0.5055606391215598,0.3460019560746941,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.74,0.39,0.009259259259259259,0.046296296296296294,0.09259259259259259,0.18518518518518517,0.3425925925925926,0.3611111111111111
d1a8ra_,0.2156979181221182,6.985679357317499e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a9na_,0.5721476510067114,0.31524598058827885,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.25,0.1,0.05,0.09090909090909091,0.2727272727272727,0.45454545454545453,0.45454545454545453,0.45454545454545453,0.45454545454545453
d1a9xa2,0.9998835476057387,0.7916666666666666,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3,0.15,0.06,0.03,0.3333333333333333,0.6666666666666666,1.0,1.0,1.0,1.0
d1a9xa3,0.9817023977281284,0.04115916285538993,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1,0.05,0.04,0.04,0.0,0.0,0.07692307692307693,0.07692307692307693,0.15384615384615385,0.3076923076923077
d1a9xa5,0.9980820522041415,0.67235442312123,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.9,0.45,0.22,0.12,0.07142857142857142,0.2857142857142857,0.6428571428571429,0.6428571428571429,0.7857142857142857,0.8571428571428571
d1a9xa6,0.9981336107420099,0.5240343759951195,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.6,0.5,0.28,0.14,0.0625,0.1875,0.375,0.625,0.875,0.875
d1a9xb1,0.9993712449350286,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1,0.05,0.02,0.01,0.0,0.0,1.0,1.0,1.0,1.0
d1a9xb2,0.6748989986258875,0.5251097549488788,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.45,0.18,0.09,0.058823529411764705,0.29411764705882354,0.5294117647058824,0.5294117647058824,0.5294117647058824,0.5294117647058824
d1ab8a_,0.3582500762660159,0.1824468929603404,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.09090909090909091,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182
d1abaa_,0.8613686709101824,0.64363139286231,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.62,0.34,0.021739130434782608,0.10869565217391304,0.21739130434782608,0.391304347826087,0.6739130434782609,0.7391304347826086
d1ac5a_,0.4771287497670952,0.3334730469204797,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.02,0.01,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
d1ad1a_,0.574065469904963,0.1842526860666391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.6,0.36,0.24,0.00909090909090909,0.045454545454545456,0.08181818181818182,0.10909090909090909,0.16363636363636364,0.21818181818181817
d1ad5a3,0.42350988274756984,0.25704452475635103,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.48,0.24,0.010638297872340425,0.05319148936170213,0.10638297872340426,0.2127659574468085,0.2553191489361702,0.2553191489361702
d1adza_,0.4771812914550227,0.3059746963169946,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.15,0.06,0.03,0.1111111111111111,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
d1ae9a_,0.7385876653623997,0.6667365234602398,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
d1aepa_,0.614878082861734,0.025069856793573177,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05,0.02,0.01,0.0,0.0,0.0,0.5,0.5,0.5
d1af7a2,0.6074364984955566,0.2530132321055327,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.4,0.22,0.12,0.041666666666666664,0.125,0.125,0.3333333333333333,0.4583333333333333,0.5
d1agja_,0.3511900227614135,0.13058547483143781,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.6,0.3,0.14,0.07,0.021739130434782608,0.08695652173913043,0.13043478260869565,0.13043478260869565,0.15217391304347827,0.15217391304347827
d1agqa_,0.21572327044025158,0.00034928396786587494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1ahoa_,0.21573834649521278,0.00041914076143904997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1ahsa_,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.02,0.01,1.0,1.0,1.0,1.0,1.0,1.0
d1aisa1,0.9994584585284048,0.7785714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.15,0.08,0.04,0.25,0.75,0.75,0.75,1.0,1.0
d1aisb1,0.9526258103633225,0.23067694886040066,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.25,0.18,0.09,0.047619047619047616,0.14285714285714285,0.14285714285714285,0.23809523809523808,0.42857142857142855,0.42857142857142855
