name,auroc,auprc,hit@top1,hit@top5,hit@top10,hit@top20,hit@top50,hit@top100,prec@top1,prec@top5,prec@top10,prec@top20,prec@top50,prec@top100,recall@top1,recall@top5,recall@top10,recall@top20,recall@top50,recall@top100
d12asa_,0.9995947462488051,0.6376573617952928,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.5,0.3,0.14,0.07,0.14285714285714285,0.42857142857142855,0.7142857142857143,0.8571428571428571,1.0,1.0
d1914a1,0.9999272938781445,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.1,0.05,0.02,0.01,0.0,1.0,1.0,1.0,1.0,1.0
d1914a2,0.99996364429579,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.5,1.0,1.0,1.0,1.0,1.0
d1a04a1,0.9903212457468656,0.43544169930781307,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4,0.2,0.12,0.05263157894736842,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.5263157894736842,0.631578947368421
d1a04a2,0.9992787738342074,0.9585227791758101,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.82,0.011111111111111112,0.05555555555555555,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.9111111111111111
d1a0aa_,0.9992729387814454,0.09090909090909091,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05,0.02,0.01,0.0,0.0,0.0,1.0,1.0,1.0
d1a0ca_,0.9928919607129865,0.241520056864895,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.06,0.04,0.1,0.2,0.2,0.2,0.3,0.4
d1a0ia1,0.9992002326595899,0.08333333333333333,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05,0.02,0.01,0.0,0.0,0.0,1.0,1.0,1.0
d1a0ia2,0.9967027905059762,0.33270770770770774,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.3,0.15,0.1,0.05,0.16666666666666666,0.16666666666666666,0.5,0.5,0.8333333333333334,0.8333333333333334
d1a0pa1,0.9976006979787698,0.029411764705882353,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,1.0,1.0
d1a0pa2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.5,1.0,1.0,1.0,1.0,1.0
d1a0tp_,0.99978186577474,0.325,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.2,0.1,0.04,0.02,0.0,1.0,1.0,1.0,1.0,1.0
d1a12a_,0.9993456449033009,0.1,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1,0.05,0.02,0.01,0.0,0.0,1.0,1.0,1.0,1.0
d1a17a_,0.9989124198230755,0.8711370885962236,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.8,0.32,0.16,0.058823529411764705,0.29411764705882354,0.5294117647058824,0.9411764705882353,0.9411764705882353,0.9411764705882353
d1a1ia1,0.9993696666797403,0.6995814122047294,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.7,0.65,0.52,0.26,0.038461538461538464,0.15384615384615385,0.2692307692307692,0.5,1.0,1.0
d1a1xa_,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.02,0.01,1.0,1.0,1.0,1.0,1.0,1.0
d1a26a1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.5,1.0,1.0,1.0,1.0,1.0
d1a32a_,0.9961209300070308,0.060756535218352815,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05,0.04,0.06,0.0,0.0,0.0,0.16666666666666666,0.3333333333333333,1.0
d1a3aa_,0.9997381818181819,0.6893939393939394,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.25,0.1,0.05,0.2,0.6,0.6,1.0,1.0,1.0
d1a3qa2,0.99996364429579,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.5,1.0,1.0,1.0,1.0,1.0
d1a3wa3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.15,0.06,0.03,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
d1a41a_,0.9996364693907227,0.16666666666666666,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1,0.05,0.02,0.01,0.0,0.0,1.0,1.0,1.0,1.0
d1a4ia2,0.9998727365282525,0.8409090909090909,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.2,0.08,0.04,0.25,0.75,0.75,1.0,1.0,1.0
d1a4pa_,0.9996697379174456,0.8122529279506023,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.5,0.26,0.13,0.07692307692307693,0.38461538461538464,0.6923076923076923,0.7692307692307693,1.0,1.0
d1a5ea_,0.9998084173742452,0.8716157771222415,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.75,0.38,0.19,0.05263157894736842,0.2631578947368421,0.47368421052631576,0.7894736842105263,1.0,1.0
d1a5ta1,0.9979392440662351,0.31916478689805505,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.15,0.1,0.06,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333334,1.0
d1a5ta2,0.9695307384503457,0.0769945784853218,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.1,0.1,0.04,0.02,0.0,0.1,0.1,0.2,0.2,0.2
d1a62a1,0.9928383206427729,0.053434234238738595,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05,0.04,0.05,0.0,0.0,0.0,0.1111111111111111,0.2222222222222222,0.5555555555555556
