name,auroc,auprc,hit@top1,hit@top5,hit@top10,hit@top20,hit@top50,hit@top100,prec@top1,prec@top5,prec@top10,prec@top20,prec@top50,prec@top100,recall@top1,recall@top5,recall@top10,recall@top20,recall@top50,recall@top100
d12asa_,0.9998960887817449,0.8755411255411254,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.35,0.14,0.07,0.1428571428571428,0.7142857142857143,0.7142857142857143,1.0,1.0,1.0
d1914a1,0.9989821142940236,0.0666666666666666,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05,0.02,0.01,0.0,0.0,0.0,1.0,1.0,1.0
d1914a2,0.99992728859158,0.75,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.5,1.0,1.0,1.0,1.0,1.0
d1a04a1,0.9967047788370168,0.539440630502173,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.45,0.22,0.16,0.0526315789473684,0.2631578947368421,0.4210526315789473,0.4736842105263157,0.5789473684210527,0.8421052631578947
d1a04a2,0.9998227426108874,0.9760337496950464,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.84,0.0111111111111111,0.0555555555555555,0.1111111111111111,0.2222222222222222,0.5555555555555556,0.9333333333333332
d1a0aa_,0.9999272938781444,0.5,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.1,0.05,0.02,0.01,0.0,1.0,1.0,1.0,1.0,1.0
d1a0ca_,0.9982029829028738,0.3261725305056235,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3,0.2,0.14,0.1,0.1,0.2,0.3,0.4,0.7,1.0
d1a0ia1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.02,0.01,1.0,1.0,1.0,1.0,1.0,1.0
d1a0ia2,0.9949935752903242,0.258560288000621,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.1,0.06,0.05,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.8333333333333334
d1a0pa1,0.9959284571760942,0.0175438596491228,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0
d1a0pa2,0.9985457718316004,0.1506410256410256,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.1,0.05,0.04,0.02,0.0,0.5,0.5,0.5,1.0,1.0
d1a0tp_,0.99985457718316,0.4166666666666666,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.4,0.2,0.1,0.04,0.02,0.0,1.0,1.0,1.0,1.0,1.0
d1a12a_,0.997019049003926,0.0238095238095238,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,1.0,1.0
d1a17a_,0.9954313068945732,0.923767587047176,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.32,0.16,0.0588235294117647,0.2941176470588235,0.5882352941176471,0.9411764705882352,0.9411764705882352,0.9411764705882352
d1a1ia1,0.9996834325991584,0.8386664624369891,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.85,0.52,0.26,0.0384615384615384,0.1923076923076923,0.3461538461538461,0.6538461538461539,1.0,1.0
d1a1xa_,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.02,0.01,1.0,1.0,1.0,1.0,1.0,1.0
d1a26a1,0.99996364429579,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.5,1.0,1.0,1.0,1.0,1.0
d1a32a_,0.9976361917230344,0.2765247588557509,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.2,0.15,0.08,0.06,0.1666666666666666,0.1666666666666666,0.3333333333333333,0.5,0.6666666666666666,1.0
d1a3aa_,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0
d1a3qa2,0.9950556242274412,0.5072463768115942,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.02,0.01,0.5,0.5,0.5,0.5,0.5,0.5
d1a3wa3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.15,0.06,0.03,0.3333333333333333,1.0,1.0,1.0,1.0,1.0
d1a41a_,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.02,0.01,1.0,1.0,1.0,1.0,1.0,1.0
d1a4ia2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.4,0.2,0.08,0.04,0.25,1.0,1.0,1.0,1.0,1.0
d1a4pa_,0.9939433292656988,0.4672931142008978,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.8,0.5,0.35,0.16,0.1,0.0769230769230769,0.3076923076923077,0.3846153846153846,0.5384615384615384,0.6153846153846154,0.7692307692307693
d1a5ea_,0.990137326426141,0.5187258691627736,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.8,0.55,0.24,0.13,0.0526315789473684,0.1578947368421052,0.4210526315789473,0.5789473684210527,0.631578947368421,0.6842105263157895
d1a5ta1,0.996666424224792,0.2514165998840725,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.3,0.2,0.1,0.05,0.0,0.1666666666666666,0.5,0.6666666666666666,0.8333333333333334,0.8333333333333334
d1a5ta2,0.9952782830120044,0.1853443806110805,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.1,0.1,0.07,0.1,0.1,0.1,0.2,0.5,0.7
d1a62a1,0.99899768821637,0.3604824151882975,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.25,0.18,0.09,0.1111111111111111,0.2222222222222222,0.2222222222222222,0.5555555555555556,1.0,1.0
d1a62a2,0.985967718481896,0.0051546391752577,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a6ca1,0.978304582495502,0.0879718579430319,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.1,0.1,0.06,0.05,0.0,0.0909090909090909,0.0909090909090909,0.1818181818181818,0.2727272727272727,0.4545454545454545
d1a6ca2,0.9967035097925152,0.3633409785932721,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.04,0.02,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666
d1a6ca3,0.9944442423801556,0.3913772934646055,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.4,0.2,0.08,0.06,0.125,0.25,0.5,0.5,0.5,0.75
d1a6fa_,0.99996364429579,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.5,1.0,1.0,1.0,1.0,1.0
d1a6ja_,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.25,0.1,0.05,0.2,1.0,1.0,1.0,1.0,1.0
d1a79a1,0.9997636535524688,0.8088235294117647,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.3,0.2,0.08,0.04,0.25,0.75,0.75,1.0,1.0,1.0
d1a79a2,0.9988002617610704,0.5285714285714286,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,0.1,0.05,0.04,0.02,0.5,0.5,0.5,0.5,1.0,1.0
d1a7ja_,0.9597935146139304,0.0018050541516245,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a7sa_,0.9999157144014912,0.986576628053954,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.88,0.45,0.0222222222222222,0.1111111111111111,0.2222222222222222,0.4444444444444444,0.9777777777777776,1.0
