name,auroc,auprc,hit@top1,hit@top5,hit@top10,hit@top20,hit@top50,hit@top100,prec@top1,prec@top5,prec@top10,prec@top20,prec@top50,prec@top100,recall@top1,recall@top5,recall@top10,recall@top20,recall@top50,recall@top100
d12asa_,0.9317161179842035,0.010864202710803458,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.02,0.0,0.0,0.0,0.0,0.125,0.25
d1914a1,0.9985329048484002,0.045454545454545456,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,1.0,1.0
d1914a2,0.9973101376371132,0.0761986301369863,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1,0.05,0.02,0.02,0.0,0.0,0.5,0.5,0.5,1.0
d1a04a1,0.9483016964627573,0.16063047543615638,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.3,0.2,0.14,0.08,0.05263157894736842,0.10526315789473684,0.15789473684210525,0.21052631578947367,0.3684210526315789,0.42105263157894735
d1a04a2,0.9215946038892016,0.34914678527955545,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9,0.85,0.56,0.38,0.010101010101010102,0.050505050505050504,0.09090909090909091,0.1717171717171717,0.2828282828282828,0.3838383838383838
d1a0aa_,0.9995808299566857,0.14285714285714285,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.1,0.05,0.02,0.01,0.0,0.0,1.0,1.0,1.0,1.0
d1a0ia1,0.8878021517395557,0.0006203473945409429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a0ia2,0.9312379155310178,0.01972991116357764,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.05,0.02,0.01,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666
d1a0pa1,0.9954589911974291,0.015151515151515152,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,1.0
d1a0pa2,0.9905854817298959,0.010687557206697895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a0tp_,0.9999650667225599,0.8333333333333333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.2,0.1,0.04,0.02,0.5,1.0,1.0,1.0,1.0,1.0
d1a10i_,0.9990742681478376,0.12333333333333332,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.2,0.1,0.05,0.04,0.02,0.0,0.5,0.5,0.5,1.0,1.0
d1a12a_,0.9808229705183736,0.0036101083032490976,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a17a_,0.9580176105321241,0.24822152756601024,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.6,0.4,0.25,0.14,0.09,0.05555555555555555,0.16666666666666666,0.2222222222222222,0.2777777777777778,0.3888888888888889,0.5
d1a1ia1,0.9963228309452149,0.7278552267356488,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.75,0.44,0.24,0.03571428571428571,0.17857142857142858,0.35714285714285715,0.5357142857142857,0.7857142857142857,0.8571428571428571
d1a1va1,0.6864785153062414,0.0024509455449741304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
d1a1va2,0.9502584881933771,0.0013966480446927375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
